Year,NOC,Gold,Silver,Bronze,Is_Host,Total_medals,Total_events_4_Years,Total_events_8_Years,Total_events_12_Years,Total_disciplines_4_Years,Total_disciplines_8_Years,Total_disciplines_12_Years,Total_sports_4_Years,Total_sports_8_Years,Total_sports_12_Years,Participants_4_Years,Participants_8_Years,Participants_12_Years,Gold_4_Years,Gold_8_Years,Gold_12_Years,Total_medals_4_Years,Total_medals_8_Years,Total_medals_12_Years
1988,QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,QAT,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,QAT,0,0,1,0,1,221,0,0,29,0,0,21,0,0,26,0,0,0,0,0,0,0,0
2004,QAT,0,0,0,0,0,237,0,0,31,0,0,23,0,0,13,0,0,0,0,0,0,0,0
2008,QAT,0,0,0,0,0,257,0,0,34,0,0,25,0,0,30,0,0,0,0,0,1,0,0
2012,QAT,0,0,2,0,2,271,0,0,37,0,0,25,0,0,13,0,0,0,0,0,0,0,0
2016,QAT,0,1,0,0,1,300,221,0,40,29,0,27,21,0,19,26,0,0,0,0,1,0,0
2020,QAT,2,0,2,0,4,301,237,0,40,31,0,27,23,0,15,13,0,0,0,0,0,0,0
2024,QAT,0,0,1,0,1,302,257,0,42,34,0,27,25,0,20,30,0,0,0,0,0,1,0
1960,RHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ROC,41,80,28,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,ROT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,ROU,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,ROU,0,1,0,0,1,97,0,0,22,0,0,20,0,0,1,0,0,0,0,0,0,0,0
1952,ROU,1,1,2,0,4,126,0,0,23,0,0,17,0,0,45,0,0,0,0,0,16,0,0
1956,ROU,6,3,10,0,19,109,0,0,20,0,0,14,0,0,33,0,0,0,0,0,0,0,0
1960,ROU,3,1,11,0,15,117,0,0,20,0,0,14,0,0,2,0,0,0,0,0,0,0,0
1964,ROU,2,4,10,0,16,129,97,0,25,22,0,19,20,0,118,1,0,0,0,0,1,0,0
1968,ROU,5,9,9,0,23,149,126,0,23,23,0,17,17,0,241,45,0,1,0,0,4,16,0
1972,ROU,3,10,27,0,40,151,109,0,23,20,0,17,14,0,103,33,0,6,0,0,19,0,0
1976,ROU,4,28,23,0,55,150,117,0,23,20,0,17,14,0,156,2,0,3,0,0,15,0,0
1980,ROU,7,15,46,0,68,163,129,97,25,25,22,19,19,20,232,118,1,2,0,0,16,1,0
1984,ROU,40,31,35,0,106,172,149,126,24,23,23,18,17,17,100,241,45,5,1,0,23,4,16
1988,ROU,8,34,16,0,58,195,151,109,28,23,20,21,17,14,258,103,33,3,6,0,40,19,0
1992,ROU,8,31,14,0,53,198,150,117,27,23,20,21,17,14,255,156,2,4,3,0,55,15,0
1996,ROU,13,10,15,0,38,203,163,129,27,25,25,21,19,19,339,232,118,7,2,0,68,16,1
2000,ROU,27,6,13,0,46,221,172,149,29,24,23,21,18,17,193,100,241,40,5,1,106,23,4
2004,ROU,23,5,11,0,39,237,195,151,31,28,23,23,21,17,172,258,103,8,3,6,58,40,19
2008,ROU,5,1,16,0,22,257,198,150,34,27,23,25,21,17,306,255,156,8,4,3,53,55,15
2012,ROU,2,8,6,0,16,271,203,163,37,27,25,25,21,19,284,339,232,13,7,2,38,68,16
2016,ROU,4,2,10,0,16,300,221,172,40,29,24,27,21,18,252,193,100,27,40,5,46,106,23
2020,ROU,2,7,0,0,9,301,237,195,40,31,28,27,23,21,193,172,258,23,8,3,39,58,40
2024,ROU,12,7,2,0,21,302,257,198,42,34,27,27,25,21,172,306,255,5,8,4,22,53,55
1904,RSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,RSA,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,RSA,5,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,RSA,3,12,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,RSA,1,1,1,0,3,95,0,0,18,0,0,16,0,0,8,0,0,0,0,0,0,0,0
1928,RSA,1,0,5,0,6,110,0,0,25,0,0,22,0,0,33,0,0,1,0,0,2,0,0
1932,RSA,2,0,3,0,5,102,0,0,18,0,0,14,0,0,56,0,0,5,0,0,7,0,0
1936,RSA,0,1,0,0,1,156,0,0,29,0,0,22,0,0,97,0,0,3,0,0,21,0,0
1948,RSA,2,2,2,0,6,126,95,0,23,18,0,17,16,0,44,8,0,1,0,0,3,0,0
1952,RSA,2,8,4,0,14,109,110,0,20,25,0,14,22,0,40,33,0,1,1,0,6,2,0
1956,RSA,0,0,7,0,7,117,102,0,20,18,0,14,14,0,20,56,0,2,5,0,5,7,0
1960,RSA,0,1,2,0,3,129,156,0,25,29,0,19,22,0,54,97,0,0,3,0,1,21,0
1992,RSA,0,3,0,0,3,136,126,95,23,23,18,17,17,16,43,44,8,2,1,0,6,3,0
1996,RSA,3,1,1,0,5,149,109,110,23,20,25,17,14,22,109,40,33,2,1,1,14,6,2
2000,RSA,0,2,3,0,5,151,117,102,23,20,18,17,14,14,90,20,56,0,2,5,7,5,7
2004,RSA,4,3,3,0,10,150,129,156,23,25,29,17,19,22,72,54,97,0,0,3,3,1,21
2008,RSA,0,1,0,0,1,257,136,126,34,23,23,25,17,17,141,43,44,0,2,1,3,6,3
2012,RSA,6,2,1,0,9,271,149,109,37,23,20,25,17,14,111,109,40,3,2,1,5,14,6
2016,RSA,2,7,14,0,23,300,151,117,40,23,20,27,17,14,161,90,20,0,0,2,5,7,5
2020,RSA,1,2,0,0,3,301,150,129,40,23,25,27,17,19,128,72,54,4,0,0,10,3,1
2024,RSA,1,6,14,0,21,302,257,136,42,34,23,27,25,17,179,141,43,0,0,2,1,3,6
1900,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,RUS,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,RUS,0,5,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,RUS,36,45,34,0,115,97,0,0,22,0,0,20,0,0,5,0,0,0,0,0,0,0,0
2000,RUS,66,67,54,0,187,110,0,0,25,0,0,22,0,0,7,0,0,1,0,0,3,0,0
2004,RUS,48,46,95,0,189,102,0,0,18,0,0,14,0,0,266,0,0,0,0,0,14,0,0
2008,RUS,43,46,53,0,142,126,0,0,23,0,0,17,0,0,3,0,0,0,0,0,0,0,0
2012,RUS,50,39,51,0,140,271,97,0,37,22,0,25,20,0,552,5,0,36,0,0,115,0,0
2016,RUS,52,28,35,0,115,300,110,0,40,25,0,27,22,0,602,7,0,66,1,0,187,3,0
1984,RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,RWA,0,0,0,0,0,221,0,0,29,0,0,21,0,0,6,0,0,0,0,0,0,0,0
2004,RWA,0,0,0,0,0,237,0,0,31,0,0,23,0,0,8,0,0,0,0,0,0,0,0
2008,RWA,0,0,0,0,0,257,0,0,34,0,0,25,0,0,10,0,0,0,0,0,0,0,0
2012,RWA,0,0,0,0,0,271,0,0,37,0,0,25,0,0,4,0,0,0,0,0,0,0,0
2016,RWA,0,0,0,0,0,300,221,0,40,29,0,27,21,0,5,6,0,0,0,0,0,0,0
2020,RWA,0,0,0,0,0,301,237,0,40,31,0,27,23,0,5,8,0,0,0,0,0,0,0
2024,RWA,0,0,0,0,0,302,257,0,42,34,0,27,25,0,4,10,0,0,0,0,0,0,0
1952,SAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,SAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,SAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,SAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,SAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,SAM,0,0,0,0,0,221,0,0,29,0,0,21,0,0,9,0,0,0,0,0,0,0,0
2004,SAM,0,0,0,0,0,237,0,0,31,0,0,23,0,0,11,0,0,0,0,0,0,0,0
2008,SAM,0,0,0,0,0,257,0,0,34,0,0,25,0,0,5,0,0,0,0,0,0,0,0
2012,SAM,0,0,0,0,0,271,0,0,37,0,0,25,0,0,5,0,0,0,0,0,0,0,0
2016,SAM,0,0,0,0,0,300,221,0,40,29,0,27,21,0,5,9,0,0,0,0,0,0,0
2020,SAM,0,0,0,0,0,301,237,0,40,31,0,27,23,0,3,11,0,0,0,0,0,0,0
2024,SAM,0,0,0,0,0,302,257,0,42,34,0,27,25,0,7,5,0,0,0,0,0,0,0
1996,SCG,1,12,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,SCG,11,1,13,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,SCG,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,SEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,SEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,SEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,SEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,SEN,0,0,0,0,0,163,0,0,25,0,0,19,0,0,14,0,0,0,0,0,0,0,0
1984,SEN,0,0,0,0,0,172,0,0,24,0,0,18,0,0,24,0,0,0,0,0,0,0,0
1988,SEN,0,1,0,0,1,195,0,0,28,0,0,21,0,0,40,0,0,0,0,0,0,0,0
1992,SEN,0,0,0,0,0,198,0,0,27,0,0,21,0,0,33,0,0,0,0,0,0,0,0
1996,SEN,0,0,0,0,0,203,163,0,27,25,0,21,19,0,39,14,0,0,0,0,0,0,0
2000,SEN,0,0,0,0,0,221,172,0,29,24,0,21,18,0,29,24,0,0,0,0,0,0,0
2004,SEN,0,0,0,0,0,237,195,0,31,28,0,23,21,0,35,40,0,0,0,0,1,0,0
2008,SEN,0,0,0,0,0,257,198,0,34,27,0,25,21,0,25,33,0,0,0,0,0,0,0
2012,SEN,0,0,0,0,0,271,203,163,37,27,25,25,21,19,12,39,14,0,0,0,0,0,0
2016,SEN,0,0,0,0,0,300,221,172,40,29,24,27,21,18,32,29,24,0,0,0,0,0,0
2020,SEN,0,0,0,0,0,301,237,195,40,31,28,27,23,21,21,35,40,0,0,0,0,1,0
2024,SEN,0,0,0,0,0,302,257,198,42,34,27,27,25,21,17,25,33,0,0,0,0,0,0
1980,SEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,SEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,SEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,SEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,SEY,0,0,0,0,0,203,0,0,27,0,0,21,0,0,21,0,0,0,0,0,0,0,0
2004,SEY,0,0,0,0,0,221,0,0,29,0,0,21,0,0,15,0,0,0,0,0,0,0,0
2008,SEY,0,0,0,0,0,257,0,0,34,0,0,25,0,0,21,0,0,0,0,0,0,0,0
2012,SEY,0,0,0,0,0,271,0,0,37,0,0,25,0,0,9,0,0,0,0,0,0,0,0
2016,SEY,0,0,0,0,0,300,203,0,40,27,0,27,21,0,9,21,0,0,0,0,0,0,0
2020,SEY,0,0,0,0,0,301,221,0,40,29,0,27,21,0,10,15,0,0,0,0,0,0,0
2024,SEY,0,0,0,0,0,302,257,0,42,34,0,27,25,0,10,21,0,0,0,0,0,0,0
1948,SGP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,SGP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,SGP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,SGP,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,SGP,0,0,0,0,0,136,0,0,23,0,0,17,0,0,1,0,0,0,0,0,0,0,0
1972,SGP,0,0,0,0,0,149,0,0,23,0,0,17,0,0,7,0,0,0,0,0,0,0,0
1976,SGP,0,0,0,0,0,151,0,0,23,0,0,17,0,0,52,0,0,0,0,0,0,0,0
1984,SGP,0,0,0,0,0,150,0,0,23,0,0,17,0,0,5,0,0,0,0,0,1,0,0
1988,SGP,0,0,0,0,0,172,136,0,24,23,0,18,17,0,6,1,0,0,0,0,0,0,0
1992,SGP,0,0,0,0,0,195,149,0,28,23,0,21,17,0,12,7,0,0,0,0,0,0,0
1996,SGP,0,0,0,0,0,198,151,0,27,23,0,21,17,0,4,52,0,0,0,0,0,0,0
2000,SGP,0,0,0,0,0,221,150,0,29,23,0,21,17,0,14,5,0,0,0,0,0,1,0
2004,SGP,0,0,0,0,0,237,172,136,31,24,23,23,18,17,27,6,1,0,0,0,0,0,0
2008,SGP,0,3,0,0,3,257,195,149,34,28,23,25,21,17,37,12,7,0,0,0,0,0,0
2012,SGP,0,0,4,0,4,271,198,151,37,27,23,25,21,17,35,4,52,0,0,0,0,0,0
2016,SGP,1,0,0,0,1,300,221,150,40,29,23,27,21,17,23,14,5,0,0,0,0,0,1
2020,SGP,0,0,0,0,0,301,237,172,40,31,24,27,23,18,22,27,6,0,0,0,0,0,0
2024,SGP,0,0,1,0,1,302,257,195,42,34,28,27,25,21,36,37,12,0,0,0,3,0,0
1996,SKN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,SKN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,SKN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,SKN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,SKN,0,0,0,0,0,271,0,0,37,0,0,25,0,0,14,0,0,0,0,0,0,0,0
2016,SKN,0,0,0,0,0,300,0,0,40,0,0,27,0,0,4,0,0,0,0,0,0,0,0
2020,SKN,0,0,0,0,0,301,0,0,40,0,0,27,0,0,2,0,0,0,0,0,0,0,0
2024,SKN,0,0,0,0,0,302,0,0,42,0,0,27,0,0,6,0,0,0,0,0,0,0,0
1968,SLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,SLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,SLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,SLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,SLE,0,0,0,0,0,172,0,0,24,0,0,18,0,0,4,0,0,0,0,0,0,0,0
1996,SLE,0,0,0,0,0,203,0,0,27,0,0,21,0,0,32,0,0,0,0,0,0,0,0
2000,SLE,0,0,0,0,0,221,0,0,29,0,0,21,0,0,10,0,0,0,0,0,0,0,0
2004,SLE,0,0,0,0,0,237,0,0,31,0,0,23,0,0,20,0,0,0,0,0,0,0,0
2008,SLE,0,0,0,0,0,257,172,0,34,24,0,25,18,0,15,4,0,0,0,0,0,0,0
2012,SLE,0,0,0,0,0,271,203,0,37,27,0,25,21,0,19,32,0,0,0,0,0,0,0
2016,SLE,0,0,0,0,0,300,221,0,40,29,0,27,21,0,3,10,0,0,0,0,0,0,0
2020,SLE,0,0,0,0,0,301,237,0,40,31,0,27,23,0,2,20,0,0,0,0,0,0,0
2024,SLE,0,0,0,0,0,302,257,172,42,34,24,27,25,18,3,15,4,0,0,0,0,0,0
1992,SLO,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,SLO,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,SLO,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,SLO,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,SLO,1,2,2,0,5,257,0,0,34,0,0,25,0,0,47,0,0,0,0,0,6,0,0
2012,SLO,1,1,3,0,5,271,0,0,37,0,0,25,0,0,47,0,0,0,0,0,2,0,0
2016,SLO,1,2,1,0,4,300,0,0,40,0,0,27,0,0,90,0,0,3,0,0,3,0,0
2020,SLO,3,1,1,0,5,301,0,0,40,0,0,27,0,0,102,0,0,0,0,0,5,0,0
2024,SLO,2,1,0,0,3,302,257,0,42,34,0,27,25,0,73,47,0,1,0,0,5,6,0
1960,SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,SMR,0,0,0,0,0,150,0,0,23,0,0,17,0,0,13,0,0,0,0,0,0,0,0
1984,SMR,0,0,0,0,0,172,0,0,24,0,0,18,0,0,4,0,0,0,0,0,0,0,0
1988,SMR,0,0,0,0,0,195,0,0,28,0,0,21,0,0,7,0,0,0,0,0,0,0,0
1992,SMR,0,0,0,0,0,198,0,0,27,0,0,21,0,0,10,0,0,0,0,0,0,0,0
1996,SMR,0,0,0,0,0,203,150,0,27,23,0,21,17,0,16,13,0,0,0,0,0,0,0
2000,SMR,0,0,0,0,0,221,172,0,29,24,0,21,18,0,31,4,0,0,0,0,0,0,0
2004,SMR,0,0,0,0,0,237,195,0,31,28,0,23,21,0,15,7,0,0,0,0,0,0,0
2008,SMR,0,0,0,0,0,257,198,0,34,27,0,25,21,0,20,10,0,0,0,0,0,0,0
2012,SMR,0,0,0,0,0,271,203,150,37,27,23,25,21,17,7,16,13,0,0,0,0,0,0
2016,SMR,0,0,0,0,0,300,221,172,40,29,24,27,21,18,4,31,4,0,0,0,0,0,0
2020,SMR,0,2,2,0,4,301,237,195,40,31,28,27,23,21,5,15,7,0,0,0,0,0,0
2024,SMR,0,0,0,0,0,302,257,198,42,34,27,27,25,21,4,20,10,0,0,0,0,0,0
1984,SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,SOL,0,0,0,0,0,221,0,0,29,0,0,21,0,0,3,0,0,0,0,0,0,0,0
2004,SOL,0,0,0,0,0,237,0,0,31,0,0,23,0,0,5,0,0,0,0,0,0,0,0
2008,SOL,0,0,0,0,0,257,0,0,34,0,0,25,0,0,1,0,0,0,0,0,0,0,0
2012,SOL,0,0,0,0,0,271,0,0,37,0,0,25,0,0,4,0,0,0,0,0,0,0,0
2016,SOL,0,0,0,0,0,300,221,0,40,29,0,27,21,0,2,3,0,0,0,0,0,0,0
2020,SOL,0,0,0,0,0,301,237,0,40,31,0,27,23,0,2,5,0,0,0,0,0,0,0
2024,SOL,0,0,0,0,0,302,257,0,42,34,0,27,25,0,3,1,0,0,0,0,0,0,0
1972,SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,SOM,0,0,0,0,0,195,0,0,28,0,0,21,0,0,4,0,0,0,0,0,0,0,0
2004,SOM,0,0,0,0,0,221,0,0,29,0,0,21,0,0,9,0,0,0,0,0,0,0,0
2008,SOM,0,0,0,0,0,237,0,0,31,0,0,23,0,0,5,0,0,0,0,0,0,0,0
2012,SOM,0,0,0,0,0,271,0,0,37,0,0,25,0,0,4,0,0,0,0,0,0,0,0
2016,SOM,0,0,0,0,0,300,195,0,40,28,0,27,21,0,2,4,0,0,0,0,0,0,0
2020,SOM,0,0,0,0,0,301,221,0,40,29,0,27,21,0,2,9,0,0,0,0,0,0,0
2024,SOM,0,0,0,0,0,302,237,0,42,31,0,27,23,0,2,5,0,0,0,0,0,0,0
1912,SRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,SRB,0,1,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,SRB,1,1,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,SRB,14,27,13,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,SRB,15,1,19,0,35,102,0,0,18,0,0,14,0,0,2,0,0,0,0,0,0,0,0
2024,SRB,16,1,12,0,29,302,0,0,42,0,0,27,0,0,97,0,0,0,0,0,15,0,0
1948,SRI,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,SRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,SRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,SRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,SRI,0,0,0,0,0,136,0,0,23,0,0,17,0,0,10,0,0,0,0,0,1,0,0
1968,SRI,0,0,0,0,0,149,0,0,23,0,0,17,0,0,7,0,0,0,0,0,0,0,0
1972,SRI,0,0,0,0,0,151,0,0,23,0,0,17,0,0,3,0,0,0,0,0,0,0,0
1980,SRI,0,0,0,0,0,150,0,0,23,0,0,17,0,0,5,0,0,0,0,0,0,0,0
1984,SRI,0,0,0,0,0,163,136,0,25,23,0,19,17,0,7,10,0,0,0,0,0,1,0
1988,SRI,0,0,0,0,0,172,149,0,24,23,0,18,17,0,3,7,0,0,0,0,0,0,0
1992,SRI,0,0,0,0,0,195,151,0,28,23,0,21,17,0,6,3,0,0,0,0,0,0,0
1996,SRI,0,0,0,0,0,203,150,0,27,23,0,21,17,0,4,5,0,0,0,0,0,0,0
2000,SRI,0,1,0,0,1,221,163,136,29,25,23,21,19,17,6,7,10,0,0,0,0,0,1
2004,SRI,0,0,0,0,0,237,172,149,31,24,23,23,18,17,9,3,7,0,0,0,0,0,0
2008,SRI,0,0,0,0,0,257,195,151,34,28,23,25,21,17,16,6,3,0,0,0,0,0,0
2012,SRI,0,0,0,0,0,271,203,150,37,27,23,25,21,17,11,4,5,0,0,0,0,0,0
2016,SRI,0,0,0,0,0,300,221,163,40,29,25,27,21,19,24,6,7,0,0,0,1,0,0
2020,SRI,0,0,0,0,0,301,237,172,40,31,24,27,23,18,8,9,3,0,0,0,0,0,0
2024,SRI,0,0,0,0,0,302,257,195,42,34,28,27,25,21,9,16,6,0,0,0,0,0,0
2016,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,STP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,STP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,STP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,STP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,STP,0,0,0,0,0,271,0,0,37,0,0,25,0,0,2,0,0,0,0,0,0,0,0
2016,STP,0,0,0,0,0,300,0,0,40,0,0,27,0,0,2,0,0,0,0,0,0,0,0
2020,STP,0,0,0,0,0,301,0,0,40,0,0,27,0,0,2,0,0,0,0,0,0,0,0
2024,STP,0,0,0,0,0,302,0,0,42,0,0,27,0,0,4,0,0,0,0,0,0,0,0
1960,SUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,SUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,SUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,SUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,SUD,0,0,0,0,0,150,0,0,23,0,0,17,0,0,13,0,0,0,0,0,0,0,0
1992,SUD,0,0,0,0,0,172,0,0,24,0,0,18,0,0,7,0,0,0,0,0,0,0,0
1996,SUD,0,0,0,0,0,195,0,0,28,0,0,21,0,0,31,0,0,0,0,0,0,0,0
2000,SUD,0,0,0,0,0,221,0,0,29,0,0,21,0,0,9,0,0,0,0,0,0,0,0
2004,SUD,0,0,0,0,0,237,150,0,31,23,0,23,17,0,8,13,0,0,0,0,0,0,0
2008,SUD,0,1,0,0,1,257,172,0,34,24,0,25,18,0,7,7,0,0,0,0,0,0,0
2012,SUD,0,0,0,0,0,271,195,0,37,28,0,25,21,0,4,31,0,0,0,0,0,0,0
2016,SUD,0,0,0,0,0,300,221,0,40,29,0,27,21,0,3,9,0,0,0,0,0,0,0
2020,SUD,0,0,0,0,0,301,237,150,40,31,23,27,23,17,4,8,13,0,0,0,0,0,0
2024,SUD,0,0,0,0,0,302,257,172,42,34,24,27,25,18,9,7,7,0,0,0,1,0,0
1896,SUI,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,SUI,16,4,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,SUI,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
